"RefDes","Value","Name","Manufacturer","Quantity","Datasheet"
"C1","1uF","CAP_0805_L","","1",""
"C2","1uF","CAP_0805_L","","1",""
"C3","1uF","CAP_0805_L","","1",""
"C4","1uF","CAP_0805_L","","1",""
"C5","1uF","CAP_0805_L","","1",""
"C6","10uF","CAP_0805_L","","1",""
"C7","0.1uF","CAP_0805_L","","1",""
"C8","4.7uF","CAP_0805_L","","1",""
"C9","0.1uF","CAP_0805_L","","1",""
"D1","","DIO_0805_L","","1",""
"J1","","GREC006SBSN-M89RC","Sullins","1","http://datasheets.diptrace.com/con_headers/xRxCzzzSxxN-M89RC_11659-B.pdf"
"R1","Jumper","RES_0805_L","","1",""
"R2","Jumper","RES_0805_L","","1",""
"R3","100","RES_0805_L","","1",""
"R4","10K","RES_0805_L","","1",""
"R5","10K","RES_0805_L","","1",""
"R6","4.7K","RES_0805_L","","1",""
"R7","4.7K","RES_0805_L","","1",""
"R8","4.7K","RES_0805_L","","1",""
"R9","Jumper","RES_0805_L","","1",""
"R10","Jumper","RES_0805_L","","1",""
"U1","","MCP1700T-3302E/TT","Microchip","1","http://www.mouser.com/ds/2/268/20001826C-320934.pdf"
"U2","","MCP1700T-1802E/TT","Microchip","1","http://datasheets.diptrace.com/microchip/20001826d.pdf"
"U3","","PCA9306D,118","Philips/NXP","1","http://datasheets.diptrace.com/philips-nxp/PCA9306.pdf"
"U4","","max30102","Analog Devices","1","https://www.analog.com/media/en/technical-documentation/data-sheets/max30102.pdf"
